127.0.0.1 - - [26/Sep/2018:19:30:25 +0300] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [26/Sep/2018:19:30:26 +0300] "GET /spring-mvc-demo/ HTTP/1.1" 200 251
0:0:0:0:0:0:0:1 - - [26/Sep/2018:19:31:01 +0300] "GET /spring-mvc-demo/customer/showForm HTTP/1.1" 200 679
0:0:0:0:0:0:0:1 - - [26/Sep/2018:19:31:05 +0300] "POST /spring-mvc-demo/customer/processForm HTTP/1.1" 200 805
0:0:0:0:0:0:0:1 - - [26/Sep/2018:19:40:30 +0300] "POST /spring-mvc-demo/customer/processForm HTTP/1.1" 200 752
0:0:0:0:0:0:0:1 - - [26/Sep/2018:19:43:12 +0300] "POST /spring-mvc-demo/customer/processForm HTTP/1.1" 200 942
0:0:0:0:0:0:0:1 - - [26/Sep/2018:20:07:55 +0300] "GET /spring-mvc-demo/c HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [26/Sep/2018:20:07:56 +0300] "GET /spring-mvc-demo/ HTTP/1.1" 200 251
0:0:0:0:0:0:0:1 - - [26/Sep/2018:20:07:58 +0300] "GET /spring-mvc-demo/customer/showForm HTTP/1.1" 500 7017
0:0:0:0:0:0:0:1 - - [26/Sep/2018:20:08:41 +0300] "GET /spring-mvc-demo/customer/showForm HTTP/1.1" 500 7007
0:0:0:0:0:0:0:1 - - [26/Sep/2018:20:09:07 +0300] "GET /spring-mvc-demo/customer/showForm HTTP/1.1" 500 7007
0:0:0:0:0:0:0:1 - - [26/Sep/2018:20:09:15 +0300] "GET /spring-mvc-demo/customer/showForm HTTP/1.1" 200 781
0:0:0:0:0:0:0:1 - - [26/Sep/2018:20:09:18 +0300] "POST /spring-mvc-demo/customer/processForm HTTP/1.1" 500 8894
0:0:0:0:0:0:0:1 - - [26/Sep/2018:20:09:35 +0300] "POST /spring-mvc-demo/customer/processForm HTTP/1.1" 500 8988
0:0:0:0:0:0:0:1 - - [26/Sep/2018:20:10:43 +0300] "POST /spring-mvc-demo/customer/processForm HTTP/1.1" 500 8988
0:0:0:0:0:0:0:1 - - [26/Sep/2018:20:12:55 +0300] "POST /spring-mvc-demo/customer/processForm HTTP/1.1" 200 998
0:0:0:0:0:0:0:1 - - [26/Sep/2018:20:15:48 +0300] "POST /spring-mvc-demo/customer/processForm HTTP/1.1" 500 8894
0:0:0:0:0:0:0:1 - - [26/Sep/2018:20:17:00 +0300] "POST /spring-mvc-demo/customer/processForm HTTP/1.1" 200 928
0:0:0:0:0:0:0:1 - - [26/Sep/2018:20:17:02 +0300] "POST /spring-mvc-demo/customer/processForm HTTP/1.1" 200 928
0:0:0:0:0:0:0:1 - - [26/Sep/2018:20:17:03 +0300] "POST /spring-mvc-demo/customer/processForm HTTP/1.1" 200 928
0:0:0:0:0:0:0:1 - - [26/Sep/2018:20:17:04 +0300] "POST /spring-mvc-demo/customer/processForm HTTP/1.1" 200 928
0:0:0:0:0:0:0:1 - - [26/Sep/2018:20:17:04 +0300] "POST /spring-mvc-demo/customer/processForm HTTP/1.1" 200 928
0:0:0:0:0:0:0:1 - - [26/Sep/2018:20:17:04 +0300] "POST /spring-mvc-demo/customer/processForm HTTP/1.1" 200 928
0:0:0:0:0:0:0:1 - - [26/Sep/2018:20:17:20 +0300] "POST /spring-mvc-demo/customer/processForm HTTP/1.1" 200 999
0:0:0:0:0:0:0:1 - - [26/Sep/2018:20:17:26 +0300] "POST /spring-mvc-demo/customer/processForm HTTP/1.1" 200 933
0:0:0:0:0:0:0:1 - - [26/Sep/2018:20:17:35 +0300] "POST /spring-mvc-demo/customer/processForm HTTP/1.1" 200 212
0:0:0:0:0:0:0:1 - - [26/Sep/2018:20:18:05 +0300] "POST /spring-mvc-demo/customer/processForm HTTP/1.1" 200 869
0:0:0:0:0:0:0:1 - - [26/Sep/2018:20:18:11 +0300] "POST /spring-mvc-demo/customer/processForm HTTP/1.1" 200 213
